書籍タイトル,要約
最高を超える,内容が何であれ、人に提案する前に 自分が どうしようもないくらい心躍るものになるまで練り直して、また声をかけてほしいと思う。。ＭＢＯを用いなければ皆が仕事をしないというなら、メンバーに問題があるか、マネジャーに問題があるか、またはその両方といえる。。しない。どのみち職場にいなければならないのだから。 リーダーがペースを決めよう。「１週間ほどで回答します」などと言われる時、私は聞く。「明日や明後日にならないか？」。物事にかかる時間を圧縮していこう。。今でも私は、経験よりも適性重視で採用することを心がけている。必ずしも「あれもこれも経験済み」といったタイプが必要なわけではない。履歴書を見てチェック...
未来をつくる起業家　～日本発スタートアップの失敗と成功　20ストーリー～ (NextPublishing),僕は自分の失敗や他人からのアドバイスを書きためていく習慣。3年後、5年後の未来の人々の生活はどうなっていて、その時に当たり前になっているものは何だろう。小さくてもいいので実際に何か事業をはじめて、その業界の関係者になること。経営者が節約をすることで、会社も無駄遣いを避けるようになりますし、創業時には強いリーダーシップを生み出します。。3年、5年、10年後の未来に対して、自分が誰よりも信じられる強いヴィジョンを持つこと。企業の文化は口ではなくて、行動でしかつくれません。。日本のスタートアップには、グローバルで活躍をするロールモデルがもっと必要。同じように好奇心旺盛だった友人2名と渋谷のジョナサン...
未来を実装する――テクノロジーで社会を変革する４つの原則,つまり今、ビジネスや社会実装の文脈でも、ロジカルシンキングやデザイン思考に加えて、 インパクト（理想） を設定し、理想と現状のギャップによって新たなイシュー（課題、問い） を生み出し、インパクトを提示することで人々を巻き込みながらそのイシューを解決していく ──いわば インパクト思考 が求められつつあるのです。そこで本書では「イシューからはじめよ」にあやかって、「インパクトからはじめよ」と主張したいと思います。。経路依存性では、小さな出来事やスタート地点、偶然が結果に対して大きな影響を持ち、その積み重ねによってバランスの取れる点へと収束することが示唆されます。言い換えると、人や組織の決定は、過...
検証 ナチスは「良いこと」もしたのか？ (岩波ブックレット),歴史的事実は「純粋なまま」でわたしたちのところにはやって来ない。なぜなら歴史的事実は純粋な形態では存在しないし、存在しえないから（１）」だ。何を注目に値する問題と見なし、何をどのように切り取るか。そこに一人ひとりの主体性や個性が発揮される。。歴史的事実は「純粋なまま」でわたしたちのところにはやって来ない。なぜなら歴史的事実は純粋な形態では存在しないし、存在しえないから（１）」だ。何を注目に値する問題と見なし、何をどのように切り取るか。そこに一人ひとりの主体性や個性が発揮される。。〈解釈〉という層が非常に重要である理由が、まさにこの点にある。歴史研究の蓄積を無視して、〈事実〉のレベルから〈意見...
楠木建の頭の中　戦略と経営についての論考 (日本経済新聞出版),競争戦略の要諦は業界のなかで独自のポジションを確立することにある。言い換えれば、顧客から見て、「ベター」ではなく、「ディファレント」な存在になるということ。Ｑ企業は次の５つで特徴づけられる。（１） 立ち位置（事業領域） を明確に絞り込み、（２） そこで一貫した戦略ストーリーを持ち、（３） 競合他社と差別化した独自の顧客価値を創出し、（４） それゆえ長期利益を稼ぎ、（５） 結果として成長を実現している。
機嫌のいいチームをつくる,主体性─自分自身の意思や判断に基づいて行動を決定する様子 自主性─当然になすべきことを、他人から指図されたり、他人の力を借りたりせずに、自分から進んでやろうとする様子  このように、主体性と自主性は明確に意味が違う。主体性には自分の意思や判断が含まれているが、自主性には含まれていない。。コーチの主たる役割は、技術を教えることではない。その選手が主体的に技術を向上させていけるように、気づきを与えることだ。。恐怖心ではなく緊張感。その意味に限ってだけ、パワーバランスがあってもいいのではないか。。しかし、それでも 監督は変化するプロセスを含め、すべてをオープンにしたほうがいい と考える。選手に主体...
欲望の見つけ方　お金・恋愛・キャリア,私の欲望は他者の媒介によって誘導されたもので、欲望の生態系は自分が理解できる規模を超えており、自分はその一部である。。人間はお互いが違うから戦うのではなく、同じだから戦うのだ。互いを区別しようとするから、敵同士の双子となり、互いに暴力を振るう分身同士となる（。正しくて良いことだと知っているだけは不十分なのである。正しくて良いことは魅力的でなければならない。言いかえるなら、欲望の対象にならなければならないということだ。。私たちは欲しいものとのあいだにはまっすぐな線が引かれていると信じている。それはまやかしだ。実際には、線は必ず曲がっている。 私たちの心の奥底には、何かを欲しいと思わせる人やモ...
武器としての会計ファイナンス　「カネの流れ」をどう最適化して戦略を成功させるか？,貸借対照表（英語の「Balance Sheet」の頭文字を略して、 Ｂ／Ｓ とも呼ばれます）は、会社が資金をどのようにして集めてきて、それをどう投資したのかを示す財務諸表の１つです。。損益計算書（英語の「Profit and Loss Statement」の頭文字をとって、 Ｐ／Ｌ とも呼ばれます）は、通常１年間の売上高から費用を差し引き、利益を計算するための財務諸表。ここまで述べてきたように、利益とキャッシュ・フローは必ずしも一致しません。むしろ、実際のビジネスでは利益とキャッシュ・フローは基本的に一致しないものだと考えたほうがよいでしょう。 この理由の１つは、図表２－７を用いて説明した工...
歴史とは何か (岩波新書),事実というのは、歴史家が事実に呼びかけた時にだけ語るものなのです。いかなる事実に、また、いかなる順序、いかなる文脈で発言を許すかを決めるのは歴史家なのです。。われわれが読んでいる歴史は、確かに事実に基づいてはいるけれども、厳密に言うと、決して事実ではなく、むしろ、広く認められている幾つかの判断である＊。」。すべての歴史は「現代史」である、とクローチェは宣言いたしました＊。その意味するところは、もともと、歴史というのは現在の眼を通して、現在の問題に照らして過去を見るところに成り立つものであり、歴史家の主たる仕事は記録することではなく、評価することである、歴史家が評価しないとしたら、どうして彼は何...
歴史と戦争 (幻冬舎新書),ポーツマス条約調印に反対した「日比谷焼き打ち事件」にしても、一種の情報不足からです。国民にはどれほどきわどい勝ちであったかは伝えられず、ただ「勝った、勝った」とだけ書くものだから、賠償金も領土も得られないとわかって暴動になってしまった。この時、頭山満以下の人たちが読んだ檄文がこれまたものすごい。 「十万の英霊と二十億の国費とを犠牲にしたる戦勝の結果は、 千載 ぬぐうべからざる屈辱と、列強四囲の嘲笑のみである。だれの責任か」 ──「十万の英霊と二十億の国費」、このスローガンが、大正から昭和にかけて、つまり満洲という広野をめぐっての列強との 鬩 ぎ合いのときに、「満洲を手放すのは十万の英霊と二...
爆速成長マネジメント,プロダクト・マーケットフィットの次のお題は、市場を獲ることです。具体的に言うなら、市場すべてにプロダクトが行き渡る方法を考え出すこと、そして独占的な市場シェアを獲得する方法を考え出すことです。。世間の噂と違い、成功するテック企業の基本モデルはプロダクト中心思考ではなく流通中心思考です。。しかし、アーリーアダプター層は市場全体では永遠の少数派です。ここで多くの起業家、特に技術系の創業者が犯す間違いが、残りの市場すべてがアーリーアダプター層のように振る舞うと期待することです。要するに顧客が自分たちを見つけてくれるという思い込みです。当然、そんなことはあり得ません。 なぜあり得ないか。それは現代の...
物語 フランス革命　バスチーユ陥落からナポレオン戴冠まで (中公新書),革命が勃発した一七八九年の時点では、王政を廃止しようなどと思っていた人はフランス中に一人もいなかったと言っていいほどだ。。ナポレオンというと軍人のイメージが強いが、政治家でもあり、「フランス革命の混乱を終息させ、かつ、革命の成果を取り入れつつ近代社会の基盤を築いた」というのがナポレオンの歴史的功績なのである。
現代思想入門 (講談社現代新書),現代思想を学ぶと、 複雑なことを単純化しないで考えられる ようになります。 単純化できない現実の難しさを、以前より「高い解像度」で捉えられるようになる でしょう。 ──と言うと、「いや、複雑なことを単純化できるのが知性なんじゃないのか？」とツッコミが入るかもしれません。ですが、それに対しては、「世の中には、単純化したら台無しになってしまうリアリティがあり、それを尊重する必要がある」という価値観あるいは倫理を、まず提示しておきたいと思います。。何か問題が起きたときに再発防止策を立てるような場合、その問題の例外性や複雑さは無視され、一律に規制を増やす方向に行くのが常です。それが単純化なのです。世...
現代経済学　ゲーム理論・行動経済学・制度論 (中公新書),交換しない場合と比較して、よりよい状態になると想定することは自然な発想であろう。新古典派経済学のもっとも基本的なところには、このアイディアがあり、それは交換の経済学と規定することが可能である。ただし、この基本的アイディアが、アダム・スミスの「見えざる手」を説明するような市場理論にまで高められるには、もう一つのステップを介在させる必要があった。それは価格をシグナルとする完全競争市場の場で、誰と誰が交換できるかが決定されることである。これによって、社会的にもっとも望ましい交換の状態が実現されることが説明される。。経済学の転換を促した最大の事件は、一九七〇年代に「情報の非対称性」という概念が発見され...
現代経済学の直観的方法,銀行から借りた金には利子という鉄の鎖がついていて、企業は毎月毎年その利子を払わなければならない。言い換えれば、借りた資金を前より肥らさない限り利払いはできないわけであり、そのためにはひたすら売上げ拡大に 邁進 しなければならない。近代戦の定義にもよるかもしれないが、むしろ陸戦に本当に決定的な革命をもたらしたのは、鉄道の登場なのである。。こうして前線がいくらでも兵力・物資を要求するようになると、それに対する限界を作り出すのは国家の全体的な体力、つまり動員可能な兵力や生産可能な物資の数量である。。つまり前線で数の大きさが競われるようになったため、国家は持てる力のすべてを前線に注ぎ込まねばならない羽...
生成AI時代の言語論 THINKING「O」,まさにクリエイティビティの定義によるんですが、クリエイティビティと一般に呼ばれるものの八割から九割ぐらいは過去の経験の類型化と、その組み合わせだと思います。その意味でのクリエイティビティは、もう達成していると考えます。 一方で、真のクリエイティビティ、レベルの高いクリエイティビティというのは、違った分野の類似性を発見することであったり、行動によって新しいことを見つけ出すことだと思うので、そこまでは達していない。。一番の誤解は、いま人間が生産活動に寄与する意味のある仕事をたくさんしていると考えることです。これはまったくの誤解です。ほとんどの仕事は意味がないとまでは言わないですが、我々はもう物質...
生殖記,死の存在とそれまでの大体の期間を把握するということは、死を起点に逆算ができるということでもあります。このくらいの年齢のときにはこのくらいの自分でありたい、こういう自分であったほうがいい、あらねばならない。こういうふうに、死を知っているがゆえに生まれる理想と現実のギャップに、不安や焦りを感じてしまうんだと思います。
監督の財産 (SYNCHRONOUS BOOKS),それは、与えられた状況の中で、チームが勝ち切るための方法を見つけ出す──つまり「勝つカタチ」を見つける。「監督の役割」はそこに尽きる。。その清宮の性格は本当におおらかだ。ほかの選手たちが出発のバスに乗っているのに食事をしていてちょっと遅れる。「すみませーん」なんて言いながら、実はまだ何か口に入れている……。人によっては、「失礼だ」と思われるところだけど、私はそんな彼の特徴を「消したくない」と考えるタイプだ。それが彼の生きてきた道であるし、育ってきた環境は人それぞれ、全然違うものだ。 監督だからといって、清宮に「私たちと同じようにするべき」と言うのはあまりにお粗末な発想だろう。 ただ、それを...
直感と論理をつなぐ思考法 VISION DRIVEN,これは外界の状況を「感じ取り」（Sense）、そのなかから固有の「意味」（Sense） をつくり出す行動モデル。プロのデザイナーとデザイン専攻の学生を比較したある研究によれば、プロはいったん自分がアウトプットしたものを当初の意図に縛られることなく、客観的に再解釈する能力に長けていると
瞬考 メカニズムを捉え、仮説を一瞬ではじき出す,つながった時代」のビジネス世界においては、ビジネスプロデューサーが、物事を実現するために必要なアクションを最小限の単位に因数分解し、その最小単位に必要なスペシャリストを当てはめていく、という戦い方になるため、スペシャリストの数は今までより少なくて済むからだ。。課題を明確にする際には、時間軸をどれだけ取るか、範囲をどれだけ取るかが重要になる。その切り取る範囲によって、課題自体が変化する可能性があるためだ。。教養の深さは、瞬考においても、ＡＩに指示を出すためにも肝要である。 仮説が湧くのは、教養が深いからであり、そうでなければ、仮説は湧かない。 指示が出せるのは、仮説が湧くから。仮説が湧かな...
知略の本質 戦史に学ぶ逆転と勝利 (日本経済新聞出版),ある特定の状況や彼我の力関係を分析することから導き出された戦略は、ある特定の情況のもとではうまく機能し、成功するかもしれないが、情況や文脈が変われば、成功を収めるとは限らない。失敗するかもしれない。それは、戦略の本質を十分に洞察していないからである。。ある特定の状況や彼我の力関係を分析することから導き出された戦略は、ある特定の情況のもとではうまく機能し、成功するかもしれないが、情況や文脈が変われば、成功を収めるとは限らない。失敗するかもしれない。それは、戦略の本質を十分に洞察していないからである。。失敗の本質』の最も主要なメッセージは、「過去の成功体験への過剰適応」ということであった。これを本...
確率思考の戦略論　どうすれば売上は増えるのか,消費者の個人の選択も、同じようにランダムで選ばれているので、その結果がポアソン分布するのです。その確率分布を決めている構造こそが、脳内にあるサイコロの目、つまり「プレファレンス」に他なりません。プレファレンスに基づいてランダムに選ばれている、そのせいで結果がポアソン分布する。これが消費者の購買行動、市場構造の本質です。。大前提となる大切な考え方があります。それは「“定数”を動かそうと努力しても無駄。動かすべきは“変数”」ということ。このことを我々は肝に銘じておかねばなりません。必要な結果を出すために、いったいどれが“定数”で、どれが“変数”なのかということを、数学は我々に教えてくれているのです...
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),ます。 人は1人1人、それぞれのプレファレンスに基づいたエボークト・セットに合ったサイコロを持ち、そのカテゴリーの購買回数の分だけサイコロを振っているようなもの です。それぞれの個々人のサイコロを振る動作が、全体として集積されたものが「シェア」であり、シェアは市場全体のプレファレンスを表しています。。1購入当たりの購入個数や平均単価において、直接的な奪い合いが起こっている訳ではありません。すなわち、我々は購入意志決定の争奪戦を行っているのです。。ようするに戦略の行きつく先もその3つしかないということです。 戦略、つまり経営資源の配分先は、結局のところ Preference（好意度）、 Awar...
社会学の考え方〔第２版〕 (ちくま学芸文庫),社会学は、人間の行為を、広範な 形成作用 figuration（５） の要素として考察することに特徴がある。すなわち、社会学は、ともに 相互依存（依存状態とは、特定の行為がなされる 蓋然性や、その行為がうまくいく可能性が、他の行為者が何者か、何をするか、あるいは何をなしうるかによって変化する状態にあることをいう） の 網の目 に組み込まれた行為者たちの選択的なnon-random集合の要素として、人間の行為を考察する。。社会学は、人間の行為を、広範な 形成作用 figuration（５） の要素として考察することに特徴がある。すなわち、社会学は、ともに 相互依存（依存状態とは、特定の行為がなさ...
社会学史 (講談社現代新書),近代社会というものの特徴は、比喩的な言い方をすれば、「自己意識をもつ社会」です。自分が何であるか、自分はどこへ向かっているのか、自分はどこから来たのか。それが正しい認識かどうかはわかりませんが、近代社会とはこういう自己意識をもつ社会です。。現に起きているものを「あえて」説明しなければいけないと思うのは、「それがなぜ起きているのか」「起きそうもないことなのに、起きているのはなぜか？」という気持ちが前提になります。「ありそうもないことが起きている」という感覚を、現に起きているものについてもたないと、社会学という学問にならない。。そういう社会秩序（秩序の崩壊も含む広い意味での秩序ですから、社会秩序も...
笑い神　M-1、その純情と狂気 (文春e-book),「自分でカメラを持って、夏から半年間、密着したら仲よくなるじゃないですか。それが最大の財産なんですよ。いつか誰かと番組をやろうというときに、そこでの信頼関係が生きてくる。その価値がわからない人は、平気で制作会社に丸投げできちゃう。こんなアホみたいな時間の使い方してるの、ＡＢＣだけですよ。三時間半の番組に半年間、かけてるんですから。でも、その労力をかけたくて、この世界に入って来てるわけやから。Ｍ‐１の外見はいくらでも真似できる。でも、本質を理解していなかったら、芸人の信頼は得られないと思います」
細胞―生命と医療の本質を探る―　上 細胞─生命と医療の本質を探る─,もっと簡単に言えば、遺伝子がコードを持ち、細胞がそのコードを解読する。このようにして細胞は、情報を形にする。つまり、遺伝子コードをタンパク質に変換するのだ。細胞がなければ、遺伝子は命を持たず、遺伝子は不活性な分子の中に保管された指示書のままだ。。ある。たとえばマラリアは、イタリア語の mala と aria を組み合わせたもので、その意味は「悪い空気」である）。。細胞は生命と生理機能の単位である、細胞は病気の中心的な単位である）。医療を一変させた薬である抗生物質が効くのは、それが微生物細胞には存在するが宿主細胞には存在しない何かを攻撃するためだ。ペニシリンは細菌の細胞壁を合成する酵素を阻害し...
組織――「組織という有機体」のデザイン 28のボキャブラリー,一般に組織改革とか組織改組などと言うが、その目的は「組織を変える」ことではない。「人々の行動を変える」ことが目的である。 どんなに大々的な組織改革を行っても、人々が行動を変えず、昔どおりの馴れ親しんだ価値観と行動をしているのであれば、その改革は失敗である。「人の行動を変える」という目的にとことん執着することを忘れてはいけない。。たとえば、それぞれの組織には、無意識になっている仕事の処理スピードである「体内時計」が存在する。。組織改革は、組織図を描き直すことではないし、組織の箱を増やしたり、減らしたりして実現するわけでもない。時代がつくり出す新たな状況は、想定もしなかった脅威かもしれないし、逆に...
経営12カ条　経営者として貫くべきこと (日本経済新聞出版),し、「潜在意識に透徹するほどの強く持続した願望を持つこと」を副題として掲げているわけです。。私は、路線ごと、路便ごとにリアルタイムに採算がわかるシステムをつくらなければ、会社全体の採算を向上させることはできないと考えました。そこで、京セラやＫＤＤＩのみならず、すでに数百社で導入実績のある「アメーバ経営」をもとにして、部門別、路線別、路便別にリアルタイムで採算がわかる仕組みを、さらにはそれぞれの責任者が中心となって収益性を高めるために創意工夫を重ねていける仕組みを構築することにしました。
経営×人材の超プロが教える人を選ぶ技術,一つの落とし穴が、先に述べたように、 優秀な人は、時に「平凡」の仮面を着けて現れる ということだ。。本当に怖いのは、学歴差別とハロー効果が、ことさら結びつきやすく、発動しやすいということである。 例えば、学歴が物足りない人に対して、相手から少しでもネガティブな一面（特徴的な印象） が見つかったときに、それが劇的に大きな影響を与え、燃え広がり、他のポジティブを覆い隠してしまうといった現象だ。。大事なのは排除や差別ではなく「そういうリスクがあることをあらかじめ認識しておくこと」 だ。そしてある程度は許容すること。許容範囲を超えたらどうするか、心づもりをしておくこと。つまり〝腹をくくっておく〟こと...
経営リーダーのための社会システム論～構造的問題と僕らの未来～,このように、構造的貧困の「構造」には二つの意味合いがあります。一つは、ステアリング（舵取り） 不能な、自分たちの営みより大きな「システム」に組み込まれてしまうという空間的帰結、もう一つは、いったんそうなってしまうと元に戻れないという時間的帰結です。。まとめると、社会学は、社会が思い通りにならない理由を究明することで、どの範囲で、どんなアプローチを採れば、複雑な社会に対峙しうるかを探求する学問です。。われわれは理性的に決定したつもりでも、本当は知らないことがいっぱいある。だから、決定後のステージでは、知らないことがいっぱい起こるわけです。そうすると予想外の帰結に入り込んでしまう。。もう一つの要因...
経営者こそ投資家である 企業価値創造のためのキャピタル・アロケーション (日本経済新聞出版),「健全なビジネスにおいては、現金は最小化されるべきもの、つまりＲＯＥなどの指標の足を引っ張る非生産的な資産とみなされることがある。しかし、ビジネスにとっての現金は、人間にとっての酸素と同じである。手に入る時には考えもせず、手に入らない時にはそれだけで頭がいっぱいになる。このようにお金の流れから見てみると、経営とはＮＰＶがプラスの投資案件を見出し、投資に必要な資金を調達し、そして、不要な資金は還元する、という３つの行動から構成されるキャピタル・マネジメントのプロセスだと考えられます。。例えば、米国の機関投資家は、企業が長期経営戦略に反映すべき要素として、競争優位性、長期目標、成長ドライバーと並ん...
経営者・従業員・株主がみなで豊かになる 三位一体の経営,このように、個別のお客さんに個別に対応するコストが重くかかる（固有コストの比率が高い）コスト構造の場合には、全社の売上がいかに増えても顧客別コストがいちいち追加的にかかってしまい規模の経済は効かないことになります。。は「Branded（すでにブランドを確立したもの）と、Branding（これからブランドを作ろうとする試み）は全然違う。Branded Goodsは高い利益を出しているかもしれないが、そういった結果だけを見て、Brandingすればいいのだ、という考えは短絡的。ブランドが経済的な堀を築くのは、それが消費者のさらなる支払い意欲を促すか、もしくはさらなる顧客を囲い込める場合に限られる。...
絶滅できない動物たち――自然と科学の間で繰り広げられる大いなるジレンマ,飼育されている状態だと個体群内部で形質の選択が行われ、この環境下の生存率は上昇するが、野生の生存率は上がらない。。進化が何世代にもわたる個体群の遺伝子構造における変化のプロセスだとしたら、種はどのような定義になるのか。。捕食などの選択圧が、短期間でグッピーの進化を型にはめることが明らかになった。この場合の短期間というのは約 30 世代から 60 世代だ。。現代の進化を掘り下げていくと、興味深い可能性が 開けた。人間は、種を絶滅の危機から救うために、種に進んでもらいたいと希望する方向へ急速に進化させるよう舵を切ることができる。もしわたしたちが意図的に、より強い、より回復力のある個体群へとつながる...
維新史再考　公議・王政から集権・脱身分化へ ＮＨＫブックス,一八五四年の日本の開国はこの事件と深い関係があった。ゴールド・ラッシュは、その直前からアメリカ政府が考えていた北太平洋横断航路の開設計画に現実的な根拠を与えたのである。この計画は、アヘン戦争の結果として西洋に開放された中国市場を目的としたもので、蒸気船を使ってニューヨークと上海の間をロンドン― 広東 間のイギリス商船より短時間で結び、価格競争でイギリスをうち負かそうというものであった。。したがって日本側はこの通信使を朝貢使節と見なしたが、朝鮮側はそのような見方はしていなかった。倭乱（豊臣秀吉の朝鮮出兵）の経験から、日本人に国内を見せないようにするため、使節の来訪を拒み、通信使はかつて侵略してき...
置かれた場所であばれたい,いい夫婦がどんな形であるかに明確な答えなどない。だからこそ自分たちの性格や考え方で最適な形をつくりあげることができる。許し許されるこの柔らかな関係が、何より心地良い。 そんな私たちにとっては、相手のいない時間の中でお互いの存在を形取っていく瞬間を持つことが、ちょっとした幸せであり、いい夫婦の形なのかもしれない。
美しき免疫の力　動的システムを解き明かす,実はワクチンは、単独では機能しないのだ。「アジュバント」（免疫 賦活 剤。「補助する」という意味のラテン語が語源）と呼ばれる物質を添加したときだけ、ワクチンとしての効果が発揮される。つまり単独では機能しなかったワクチンに、水酸化アルミニウムなどの化学物質をアジュバントとして加えると、ワクチンとして有効になるのだ。。免疫の歴史に記された最初の「臨床試験（＊ 10）」の被験者となる「有志の人々」は、病死する可能性のある試験への参加か、死刑による確実な死か、いずれかを選ばされる形で募集された。。そのせいで、誰もが大きな見落としをしてきた。われわれの理解には、免疫反応が開始される仕組みの説明がごそっと...
脳の大統一理論　自由エネルギー原理とはなにか (岩波科学ライブラリー),やや哲学的な話になるが、いま目にしているこの世界（これを自分の外の環境という意味で「外環境」と呼ぶことにしよう） もまた、私たちの脳が推論した結果であるといえる。たとえば、網膜に映る像が平面的であるのに外環境が立体的に見えるのは、脳が眼の網膜に映った像を手がかりにして外環境がどのようになっているかを推論しているからである。。やや哲学的な話になるが、いま目にしているこの世界（これを自分の外の環境という意味で「外環境」と呼ぶことにしよう） もまた、私たちの脳が推論した結果であるといえる。たとえば、網膜に映る像が平面的であるのに外環境が立体的に見えるのは、脳が眼の網膜に映った像を手がかりにして外環境...
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,知能は脳がつくる世界のモデルと密接につながっている。したがって、脳がどうやって知能をつくるのかを理解するには、単純な細胞からなる脳が、どうやって世界とそこにある万物のモデルを学ぶかを解明しなくてはならない。。知能は脳がつくる世界のモデルと密接につながっている。したがって、脳がどうやって知能をつくるのかを理解するには、単純な細胞からなる脳が、どうやって世界とそこにある万物のモデルを学ぶかを解明しなくてはならない。。生物も種はたいてい新しいものが出現すると古いものが消えるが、それとちがって脳は古い部位の上に新しい部位を加えることによって進化した。。生物も種はたいてい新しいものが出現すると古いものが...
自由になるための技術　リベラルアーツ,データ分析に基づいたロジックで戦略をつくるといった、まさにサイエンスを拠り所とした仕事で、「正しさ」に基づいて強い事業がつくれるんだと、ドグマのように信じて仕事をしていたわけです。でもふと立ち止まり、世の中を見たときに、「正しさは、もうコモディティだ」と思ったのです。正しさだけだと、もはや当たり前のこと、誰が考えても同じ結論になることしか提案できないと気づいたのです。。た。いま、なぜリベラルアーツが重要か──、野田さんの答えは「人間を理解するための知恵を与えてくれるから」というものでした。不確かな現代を生き抜くうえでは、人間というものをより深く理解することこそが「最重要のスキル」だという。質的...
良い戦略、悪い戦略 (日本経済新聞出版),良い戦略は必ずと言っていいほど、このように単純かつ明快である。パワーポイントを使って延々と説明する必要などまったくないし、「戦略マネジメント」ツールだとか、マトリクスやチャートといったものも無用だ。必要なのは目前の状況に潜む一つか二つの決定的な要素──すなわち、こちらの打つ手の効果が一気に高まるようなポイントをみきわめ、そこに狙いを絞り、手持ちのリソースと行動を集中すること、これに尽きる。。良い戦略には、とるべき行動の指針がすでに含まれている。こまかい実行手順が示されているわけではないが、やるべきことが明確になっている。「いま何をすべきか」がはっきりと実現可能な形で示されていない戦略は、欠陥品...
言語の本質　ことばはどう生まれ、進化したか (中公新書),本章では、オノマトペとは何かについて概観した。言語学者はオノマトペを「感覚イメージを写し取る、特徴的な形式を持ち、新たに作り出せる語」と定義するが、その中でも、とくに「写し取る」という特徴が鍵である。オノマトペは基本的に物事の一部分を「アイコン的」に写し取り、残りの部分を換喩的な連想で補う点が、絵や絵文字などとは根本的に異なると指摘した。。清濁の音象徴は、ポケモン（ポケットモンスター） の名前研究でも報告されている。体長の長いポケモンや体重の重いポケモンに濁音が多いほか、進化が進むにつれて名前に濁音を持ちやすくなることがわかっている。たとえば、「ヒトカゲ」というポケモンは進化すると「リザード」...
財閥のマネジメント史　誕生からバブル崩壊、令和まで (日本経済新聞出版),有能な人を、家柄を超えて取り立てていく仕組みが 18 世紀にはできていました。それが 足高 の制。八代将軍徳川吉宗の享保の改革（１７１６年から） で生まれた制度です。 足高とは何をするのか。役職は身分（家柄） とセットになっていて、同時に禄高ともセットになっています。したがって、身分は低いが有能な人を役職に就けようとすると、「禄高を上げなければならない（財政的負担）」「結果として家柄が上がったように見える（身分制度の崩壊）」という問題が生じます。このため、そう頻繁には抜擢人事ができません。 そこで、有能な人材を役職に就けている間だけ禄高を上げるという制度をつくりました。これが足高の制。財政...
賢さをつくる 頭はよくなる。よくなりたければ。,具体的な知識を受け取った際、それらをそのまま丸暗記するのではなく抽象度の高い概念にまとめあげることがインプット なのだ。。説明が上手な人は、抽象的なことを具体的に説明する「たとえ」や「比喩」が上手 なのだ。。思考とは、具体化と抽象化の往復運動である。 頭がよい人とは、具体化と抽象化の往復運動が得意な人 のことである。。どの抽象度で物事を考えるのかは、完全にあなたの自由である。。理想のビジョンである《右》の世界と、現場の《左》の世界がスムーズにつながる組織がよい組織 だ。
贈与の歴史学　儀礼と経済のあいだ (中公新書),日本の神仏は人に多くを要求することがなく、きわめて 慎ましい部類に属するといえよう。このように安上がりで微温的な信仰のあり方は、おそらく多神教に起因するところが小さくないと思われる。捨てる神あれば拾う神ありという神々の競合状態が、贈与額の高騰を抑制してきた面もあるにちがいない。。総じて土地や農業からの収益よりも、商業・流通・金融・貿易などに大きな比重を置いていたのが室町幕府財政の特徴であり、ここに前代の鎌倉幕府にはみられなかった、まさに経済先進地である京都に本拠地を占めたことからくる室町幕府の都市的性格があらわれている。
進化するブランド: オートポイエーシスと中動態の世界,他のブランドとの差別的価値、言い換えると相対的価値をブランドに託する西洋型、ブランド自体のもつ絶対的価値の蓄積を図る日本型という区分ができそうです。。他のブランドとの差別的価値、言い換えると相対的価値をブランドに託する西洋型、ブランド自体のもつ絶対的価値の蓄積を図る日本型という区分ができそうです。。進化するタイプのブランドの核心となるテーマは、「ブランドとしての同一性を保ちながらも、変容し続けること」にあります。。進化するタイプのブランドの核心となるテーマは、「ブランドとしての同一性を保ちながらも、変容し続けること」にあります。
遊びと利他 (集英社新書),批評家の若松英輔は空海の「自利利他」という言葉を引きながら、「自己を深めることと他者の救済は一つ」だと論じ。ところが、従来の公園と現代の公園では遊具も遊びも、三つの点でかなり変化していることを強く実感させられる。すなわち、①「人と遊びの分断」、②「危険性の排除」、③「管理と公平性」の点で従来の公園とは大きく異なっているのだ。。遊具はいまの公園遊具の「遊び」の感覚と異なり、古くは宗教の儀礼的側面があり、近代には体を鍛える富国強兵の理念とも結びついていたことがわかる。。法である。 １９５６年の都市公園法で、「三種の神器」と称されるブランコ、滑り台、砂場の設置が義務づけられ、これらの遊具は、いまで...
運　ドン・キホーテ創業者「最強の遺言」 (文春新書),すなわち、運のいい人とは「運を使い切れる人」であり、運の悪い人は「運を使い切れない人」あるいは「使いこなせない人」だと言える。。を「幸運の最大化と不運の最小化」（。私はこの計算式を野球に例えて、人生でもビジネスでも「打率と打点の交差主義比率」が最大値になるよう、常に意識して行動するようにしている。そうした 当たり前で合理的なことをブレずにやり続けることが、運を開く上での正攻法になる からだ。。私はこれまで、「戦略や戦術を語る前に、まずは戦闘モードを全開にせよ」と、口を酸っぱくして現場に、戦う姿勢の重要性を唱えてきた（いまだに唱え続けている）。。しかしそれは 自惚れた幻想に過ぎないことを、後...
