書籍タイトル,著者,ハイライト内容
幣原喜重郎　国際協調の外政家から占領期の首相へ (中公新書),熊本史雄,ワシントン会議期間中に、加藤友三郎が「君はお人好しで、 自惚れているからいかん」（『同前』） と半ば諭したように、幣原の公明正大な言動の根底には、どこか性善説的な人間観が敷かれてい
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,私たちの代謝エンジンは、身体活動が活発化してコストが増加すると、なんとかやりくりしてそのための余地をつくりだし、最終的には１日のカロリー消費量が一定の狭い範囲内におさまるようにしている。その結果、体をよく動かす人──現代の狩猟採集民や過去の狩猟採集民、工業社会で定期的に運動をする人々──も、体をほとんど動かさない人と同じ量のエネルギーを燃焼することになった。
利他・ケア・傷の倫理学,近内悠太,つまり、サピエンスとは、他の動物であれば適応進化によって獲得するしかなかった形質を外部化することによって、 環境自体を変更してしまう種 なのです。先ほど、サピエンスが進化におけるバグだと言ったのは、この性質ゆえです。サピエンスは身体ではなく、環境（＝都市における制度・システム・テクノロジー） の側を変えてしまうという、進化のプロセスを裏切る種なのです。
体験格差 (講談社現代新書),今井悠介,重要なことは、これまでのクーポンの利用実績を振り返ると、９割以上がいわゆる狭い意味での「学習」を目的として利用されているということだ。つまり、学習塾、個別指導塾、家庭教師などでの利用がメインで、受験対策のニーズがやはり大きい。第一部でも紹介した通り、特に中学３年の時期には家庭が支出する学校外での平均的な学習費が大きくなるため、その負担への補塡という意味合いで利用されてきた。逆に言えば、「体験」を目的として利用されたケースは全体の１割に満たない。
グループ経営入門【第4版】: グローバルな成長のための本社の仕事,松田　千恵子,通常の企業価値計算においては、おおよそ５年程度のフリーキャッシュフローは各年きちんと予測し、それ以降は予測した最終年度の状態が永続すると仮定して数学的に処理します。
センスメイキング――本当に重要なものを見極める力,クリスチャン・マスビアウ、斎藤 栄一郎,蓄積された知識が多ければ多いほど、言い換えれば頭脳の備えが多ければ多いほど、直観的なすばやいひらめきが得意になると説明している。 　このような思考をカーネマンは「システム１」の思考モードと呼んでいる。ウィリアム・ジェームズが指摘したように、天才は「連続的に注意が向けられる対象物の性質ではなく、注意自体の性質が凡人とは違う」のだ。
経営者・従業員・株主がみなで豊かになる 三位一体の経営,中神 康議,常識の場合にはことさら信仰は要らない、常識には仮説的なところがないからである。常識は 既に 或る信仰である、これに反して思想は信念になら ねばなら
戦略の要諦 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,生産性の高い人は、最重要ポイントに全力で集中することで、直面する課題を乗り越える方法を見つけ出す。繰り返しになるが、最重要ポイントとは困難で複雑な課題を構成する要素のうち、 最も重要かつ解決可能な（正確には、妥当な確率で解決できそうな） 要素を指す。
NEW SALES――新時代の営業に必要な7つの原則,麻野 耕司,「理想→課題→価値→方法」のストーリー（物語） を顧客と一緒に組み立てられる営業を、「ストーリー営業」と本書では呼びます。
Hit Refresh（ヒット リフレッシュ）,サティア・ナデラ、グレッグ・ショー、ジル・トレイシー・ニコルズ、山田美明、江戸伸禎、ビル・ゲイツ,今日、私たちは飛行機を飛ばすことをもはや「人工飛行」とは考えない。それは単に「飛行」だ。同じように、知性を持つ機械についても「人工知能」と考えるのをやめて、人間の能力の増強に寄与する単なる「知能」と見なすべきだ。
言語の本質　ことばはどう生まれ、進化したか (中公新書),今井むつみ、秋田喜美,今のニューラルネット型ＡＩは 記号接地をせず に学習をすることができ、人間の創造性は実現できないにしろ、普通の人間よりもずっと大量の知識を蓄え、知識を使って説明を行い、問題を解決できる。
マスター・オブ・スケール　世界を制したリーダーが初めて明かす 事業拡大の最強ルール,リード・ホフマン、ジューン・コーエン、デロン・トリフ、大浦千鶴子,これは、「事業拡大という名の錯覚」だ。１００万人のユーザーが現れ、そしてすぐに消えてしまうのは、サムの言葉を借りれば、単に「 人は心底気に入ったものじゃなければ、他のもので代用できると思う からだ」。
HIGH OUTPUT MANAGEMENT,アンドリュー・S・グローブ、小林　薫,インテル社がハイブリッド組織になったのは、あいまいさが気に入っているからではない。他のこともすべて試みてはみたが、他のモデルでは、あいまいさこそ少ないものの、とにかくうまく機能しないのである。ハイブリッド組織とそれに付随する二重所属制度の原則は、民主主義と同じで、それ自体が偉大なわけではない。たまたま、組織化が必要などの事業においても、それらが最善の方法であるにすぎない。
グループ経営入門【第4版】: グローバルな成長のための本社の仕事,松田　千恵子,事業の型を解明するのは、「どのようにキャッシュインが生まれ、それにはどのようなキャッシュアウトが必要で、そこにどのようなリスクがあるのか」を正しく把握して将来のキャッシュフローを最大に、リスクを最小にする打ち手を実行するためです。分析の目的を見失いそうだと思った時には、必ずここに戻ってきてください。
欲望の見つけ方　お金・恋愛・キャリア,ルーク バージス、川添 節子,モンテッソーリの教師はある対象への欲望の見本を見せ、それから子供が直接触れあえるように、欲望の媒介者として 身を引く。教師の責務は「光を与えて、自分の道を進むことだ」という（ 10）。 　良いリーダーは障害にも競争相手にもならない。率いる人たちに共感を示し、互いの関係を超越する良いものに向かって道を示す──重力の中心を自分から離していくのである。
現代思想入門 (講談社現代新書),千葉雅也,つまり、そもそも排除によって成立しているアイデンティティなのだから、そのことを単純には擁護できないはずなんです。むしろそれ以前の、良いアイデンティティも悪いアイデンティティも不成立だった時代の、多様な同性愛行動を肯定し直すということが何らかのかたちで伴わなければならないはずなんです。そうした近代批判が伴わなければ、たんに近代という構造をこじらせているだけになるかもしれない。
現代経済学　ゲーム理論・行動経済学・制度論 (中公新書),瀧澤弘和,信念」（belief） とはどのような結果がどのような確率で生じるのかに関する予想のことで
プロフィット・ピラミッド,浪江 一公,商品企画担当者は、営業が収集した顧客ニーズを参考として、一、二年先のまだ見えぬ需要に応じた新しい商品企画の仮説を考えます。ここで重要な点は、顧客から集めたニーズを、同じニーズが多い、少ない、という統計的なデータに基づき機械的に商品企画をするのではないことです。あくまでそのデータを参考として、商品企画担当者が自身の経験、顧客の現場に関する知識そして自身の先見性・創造力に基づき、自分の頭で商品仮説を創出するということです。このため、新卒者が商品企画部門に入社後すぐ配属されるということはなく、開発や営業等である程度の経験を積んだ人材が商品企画を担当することになります。
THE MODEL（MarkeZine BOOKS） マーケティング・インサイドセールス・営業・カスタマーサクセスの共業プロセス,福田 康隆,「今は業界トップクラスの営業は、なかなかうちに入社してくれない。業界未経験者を採用して、まずＳＲ（現在のインサイドセールス） の仕事をしてもらう。相手はある程度うちのことを認知していて、何かしらの課題を持っているから、未経験者でも話はしやすい。とにかく数多くの見込客と話すことで製品知識、ヒアリング能力、オブジェクションハンドリングなど基本的な営業スキルを身につけることができる。
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,ジェフ ホーキンス、大田 直子,う。第三に、新皮質の各領域の機能は固定されていない。たとえば、先天的に目の見えない人たちの場合、新皮質の視覚野は眼から有益な情報を得られない。そのためこの領域は、聴覚や触覚に関係する新しい役割を担う場合がある。
世界標準の経営理論,入山 章栄,社会学ベースの制度理論は「人は必ずしも合理的に意思決定するとは限らない」という前提に立つ。
シリコンバレー最重要思想家ナヴァル・ラヴィカント,エリック・ジョーゲンソン、櫻井 祐子,私にとっては、自分の行動が身のまわりの世界に長期的におよぼす影響を理解していることが、「知恵」だ。その知恵を外の世界に広げたものが、「判断」なんだ。 　 知恵と判断は深く結びついている。自分の行動の長期的影響を知って、それを活かせるように正しい決定を下すことが大事だ［ 78］。
監督の財産 (SYNCHRONOUS BOOKS),栗山英樹,中国の古典「易経」を読んでいる時、光っていたのは「３日、嫌な思いをしなかったら気を付けたほうがいい」という言葉だった。この話は、今まで記した書籍などにも必ずといっていいほど紹介している。そのくらい、監督をしていて助けられた。 　嫌なことが起きるのは当たり前で、そのぶん、いいことが起きる。逆に、嫌なことがないのは、その先に嫌なことが待っているのであって、危うい状態である。易経に書かれた言葉の意味だ。
日本人のための第一次世界大戦史 (角川ソフィア文庫),板谷 敏彦,政治家、そしてそこに新聞を売りたいジャーナリストが加わり世論を動かしていったのです。こうして実際の兵器としての戦艦そのものの脅威よりも、高価な戦艦群の建造予算獲得のために演出された隣国に対する脅威こそが、戦争に至る国民の憎悪や恐怖を 育んでいったのです。
ヒットの設計図　ポケモンGOからトランプ現象まで (早川書房),デレク トンプソン、高橋 由紀子,名前に関して不思議なのは、タダで無限にあっていくらでも選べるのに、限られた選択肢と多様な値段と多くの広告を伴う一般の商品と同じように、時間と共に人気が熱したり冷めたりする「ハイプサイクル（新製品は黎明期、流行期、幻滅期、回復期、安定期の５段階をたどるというマーケティング理論。ハイプとは「誇張」の意）」を示すということだ。名前もまた、服装と同じようにファッションなのである。ある名前（エミリーなど）は現在かっこいいとされるが、昔人気があった名前（エセルなど）は、今では少々古臭い感じがする（ ５）。エミリーもエセルも名前の本質は変わらない。ただ人気が変わったのである。
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,おかしな話はさらにある。私たちの体が行うあらゆる仕事のためのエネルギーを供給するのは、もとは別の生命体だったミトコンドリアで、私たちの細胞に住み着いている。ミトコンドリアは自身のＤＮＡと 20 億年に及ぶ進化の歴史をもち、その歴史には地球上のすべての生き物を絶体絶命のピンチから救ったことも含まれる。また、食べたものを利用できる形になるまで分解する仕事の大半を担っているのは、消化管の中に広がる生態系である。この微生物 叢（マイクロバイオーム） は何兆もの細菌からできていて、それらは私たちの消化管の端から端までをすみかとしている。口とお尻をつなぐ長いヘビのような通路のすべてを、だ。 　私たちは、一部は人間、一部はその他の生命体という歩くキメラであり、命を失った食物を生きた人間に変えるという奇跡を、何も考えずに毎日行っている。
ほんとうの構造主義　言語・権力・主体 ＮＨＫブックス,出口 顯,sujet（英語のsubject）とは、「臣下＝服従した者」であると同時に「主体」なのであり、主体化とは隷属化（ともにassujettissement）なのである（ 14）。個人が主体たりうるのは、人に主体たりうることをひそかに要求する、ある権力のもとに隷属するときなのである。主体的行動とか主体的判断などの表現が連想させる、他者や社会からあたかも切り離されてそれ自らで存在する個人という通念とは裏腹に、主体とは自立した存在ではないのである。
なぜ世界はそう見えるのか,デニス・プロフィット、ドレイク・ベアー、小浜杳,あなたがどのような人であれ、あなたの思考は現在の生理的エネルギー量の影響を受ける。あなたがどのように考えるかは、いついかなるときも、身体的な感覚に──さらにはその感覚をどのように読み解くかに──結びついているのである。
スカウト目線の現代サッカー事情～イングランドで見た「ダイヤの原石」の探し方～ (光文社新書),田丸 雄己,“Luck is where preparation meets opportunity.”（幸運は準備と機会が出会うところ）。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ディープラーニングが従来の機械学習とは大きく異なる点が２点ある。１つは、１層ずつ階層ごとに学習していく点、もう１つは、自己符号化器（オートエンコーダー）という「情報圧縮器」を用いることだ（＊注 38）。
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,こうした「真実の瞬間」を組織全体として共有し、そこには一切の妥協なくヒト・モノ・カネを投じ、それ以外の一般的な顧客対応とメリハリをつけること で、企業としても持続可能な形で顧客ロイヤルティ向上に向き合うことができるのです。
ゾーンマネジメント,ジェフリー・ムーア、栗原　潔,ホライゾン１： 翌会計年度の事業による投資回収。 ホライゾン２： 二年から三年で投資回収。マイナスのキャッシュフローの中間的期間を経た後に投資が回収可能となる。 ホライゾン３： 三年から五年で投資回収。主に研究開発であり、事業による回収はまだ考慮されない。
爆速成長マネジメント,イラッド・ギル、浅枝 大志、大熊 希美,しかし、アーリーアダプター層は市場全体では永遠の少数派です。ここで多くの起業家、特に技術系の創業者が犯す間違いが、残りの市場すべてがアーリーアダプター層のように振る舞うと期待することです。要するに顧客が自分たちを見つけてくれるという思い込みです。当然、そんなことはあり得ません。 　なぜあり得ないか。それは現代の消費社会において、マジョリティ層は既存のもので十分に忙しいからです。明確な理由で説得されない限り、彼らは新しいものに手を出す理由がありません。
はじめての構造主義 (講談社現代新書),橋爪大三郎,これによれば、社会のいちばん基本的な形は、交換のシステムである。その交換は、利害や必要にもとづくのではなく、純粋な動機（交換のための交換） にもとづくものだ。交換のシステムのなかでは、女性や、物財や、言葉が、「価値」あるものになる。しかし、それらが、その「価値」ゆえに交換されるとか、利害動機や機能的な必要にもとづいて交換されるとか考えるわけにはいかない。あくまでも、交換のための交換が基本であり、それが特殊に変化・発達していった場合にだけ、いわゆる経済（利害にもとづいた交換） が現れるにすぎない。
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),宇田川元一,組織は多義性を認知し、削減し、解釈の枠組みを保持するという一連のプロセスを経て環境適応を果たすと、新たな多義性の認知が難しくなる」というものがあり、その現象を彼は「適応が適応可能性を排除する」と表現している。
なぜ、TikTokは世界一になれたのか？,マシュー・ブレナン、露久保由美子,コンテンツベースのフィルタリングシステムは、ユーザーがすでに好んで消費しているコンテンツに類似したものを勧める。たとえばユーザーが犬の動画を観るのが好きで、「犬好き」とタグを付けられていれば、より多くの犬の動画を勧めることになる。
経営者こそ投資家である 企業価値創造のためのキャピタル・アロケーション (日本経済新聞出版),手島直樹,Ｍ＆Ａで争うことをやめればよいのです。オークションが実施された時点でほぼ確実に「勝者の呪い」が発生する
「価値」こそがすべて！―ハーバード・ビジネス・スクール教授の戦略講義,フェリックス・オーバーフォルツァー・ジー、原田 勉,ソニーのような製品中心主義の企業は、デバイスの品質に細心の注意を払います。読書体験が顧客が新しいデバイスを購入する際の重要な要素であることを知っていたソニーは、すばらしい読書体験を提供しました。一方、アマゾンはＷＴＰを重視し、その広い概念にもとづき、カスタマージャーニー全体を通じて利便性を提供しました。その結果、ソニーがワイヤレスを導入したときには、すでに手遅れでした。
文章は、「転」。,近藤康太郎,です。国分さんの本を読んで、刺激を受け、さて、自分はどう考えるんだと、自分に問う。刺激や影響から、半歩でもいいから踏み出す。自分の頭で考える。 　それがないと、わざわざ文章を書く意味が、ほとんどない。
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,ＫＰＩはボトルネックや好業績要因を特定し、テコ入れや加速につなげるためのものです。具体的な施策やアクションにひもづいて指標が設定されてはじめて、施策やアクションのレベルでの改善策が議論可能になります。
勝利の流れをつかむ思考法　F1の世界でいかに崖っぷちから頂点を極めたか,山本 雅史,仕事を進めるうえで、会社員として何をすべきか、ということは、その組織に所属している以上、もちろん重要だ。しかしその一方で仕事とは、それを通じて自己実現を図ることができる絶好の機会でもある。
承久の乱　日本史のターニングポイント (文春新書),本郷 和人,後鳥羽上皇にしてみると、鎌倉武士のトップを自分の考える秩序の中に完全に囲い込んだという認識があったはずです。しかし、そこに落とし穴がありました。 　実朝は、朝廷と接近することによるデメリットに目を向けていませんでした。それは在地領主である御家人たちとの間にギャップが生まれてくることです。 　頼朝はそのデメリットにきわめて敏感でした。将軍の地位を得てからも、京都の公家の美姫を正室に迎えることをせず、 糟糠 の妻たる北条政子を大事にするのです。京都から位をあげるといわれても、なかなか応じようとせず、権大納言・右近衛大将に任じられてもすぐに辞任してしまう。圧倒的に高度な都の文化、文物に背を向けて、ルック・イースト、東国重視の姿勢を貫くことで、頼朝は鎌倉武士の支持を調達することができたのです。
二項動態経営　共通善に向かう集合知創造 (日本経済新聞出版),野中郁次郎、野間幹晴、川田弓子,だからこそ、多様な知を組織内に内包して、意図的に組織の壁や地位・立場によるヒエラルキーを壊し、摩擦を起こし、葛藤する場を整備するのである。お互いが全身全霊で相手に共感するとともに、その異質性をぶつけ合い、お互いを活かしつつ、新たな知を共創する。組織に意図的にカオスや不安定性をつくり出し、創造性を高めるダイナミックバランスを目指す。
新・ラグジュアリー　文化が生み出す経済 10の講義,安西洋之、中野香織,ラグジュアリーが決定的な変質を起こすきっかけになったのは、１９８４年です。 ベルナール・アルノー がマルセル・ブサック・グループを買収し、クリスチャン・ディオールを基盤とするラグジュアリーブランドの世界戦略を開始した年です。１９８９年にアルノーはＬＶＭＨグループの実権を握り、１９９０年代には巨大コングロマリットを着々と構築していきます。
スマートシティとキノコとブッダ　人間中心「ではない」デザインの思考法,中西 泰人、本江 正茂、石川 初,キノコのような異なる知性を、人間がいったいどのように理解できるのかを考えることは大切です。それを考えることで、私たちの知能を相対化できるはずです。チューリングテスト＊４ という人間中心主義的な発想を捨てなければなりません。
財閥のマネジメント史　誕生からバブル崩壊、令和まで (日本経済新聞出版),武藤泰明,　何が起きたのか。産業が発展して、大企業が数多く生まれた結果として、企業経営者が有能な人材であるという世の中の「了解」が生まれたということなのでしょう。第Ｉ章で紹介した「足高の制」のように、武士階級の身分制度は必ずしも硬直的なものではなく、有能な人材を抜擢する仕組みが早い段階で整備されていました。だから明治維新が成功して、日本は欧米列強の領国にならずに済んだのだと思います。 　才能のある人を見つけるのは社会にとってとても大事なことで、 20 世紀初頭の日本では、企業がその役割の一部を担い始めていました。お金だけでなく人も供給するようになったということです。
進化するブランド: オートポイエーシスと中動態の世界,淳蔵 石井,　他のブランドとの差別的価値、言い換えると相対的価値をブランドに託する西洋型、ブランド自体のもつ絶対的価値の蓄積を図る日本型という区分ができそうです。
良い戦略、悪い戦略 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,ある。今日でも、有能なストラテジストがやっていることは決定ではなく設計であり、選択肢の中から選ぶのではなく自らデザインしている。戦略立案は、どの車を買うか決めたり、新工場の広さを決めたりする作業よりも、高性能の飛行機を設計する作業に似ている。マネジャーが意思決定者だとすれば、ストラテジストはデザイナーだと言えよう。
ヒットの設計図　ポケモンGOからトランプ現象まで (早川書房),デレク トンプソン、高橋 由紀子,彼の見解では、たいていのユーザーは新しい歌を聴くことを喜ぶが、その喜びを見つけるための努力はしたがらない。人々はたいした努力も面倒もなしに、新しいものを発見したい。つまり「達成可能なチャレンジ」が望みである。ディスカバー・ウィークリーを設計する時には、「友達がミックステープを送ってくれるような感じでなくてはならないという基準で、すべてを判断したんです」と彼は言った。だから配信は週１回で、リストには 30 曲しか入れない。
岩田さん: 岩田聡はこんなことを話していた。 (ほぼ日ブックス),ほぼ日刊イトイ新聞,テレビゲームの歴史って、こう言うと身も蓋もないですけど、かつては『ドラクエ』と新しい『マリオ』が出たときだけ押入れから出てきて、ふだんはテレビにつながれもせずに仕舞われてる、っていう遊ばれ方をしてた時期もあるんです。ですから、それを、まずはつないでおいてもらうようにした。そのつぎのステップとして、ようやく毎日電源を入れてもらう機械になりつつある。そんなふうに思っています。
モード後の世界 (扶桑社ＢＯＯＫＳ),栗野宏文,それはどう違うのか」「どういう違いを出せているのか」という違いの出し方がキイワードになります。
現代経済学　ゲーム理論・行動経済学・制度論 (中公新書),瀧澤弘和,モデルのなかで、消費者は効用を最大化する合理的主体として、生産者は利潤を最大化する主体として扱われている。このような合理的経済主体は、ホモ・エコノミクスと呼ばれている。
はじめての構造主義 (講談社現代新書),橋爪大三郎,世界のあり方は、言語と無関係でなく、どうしても言語に依存してしまうのである。われわれはつい、言語と無関係に、世界ははじめから個々の事物（言語の指示対象） に区分されているもの、と思いこみがちだ。ところが、そんなことはないので、言語が異なれば、世界の区切り方も当然異なるのだ。
経営者こそ投資家である 企業価値創造のためのキャピタル・アロケーション (日本経済新聞出版),手島直樹,例えば、米国の機関投資家は、企業が長期経営戦略に反映すべき要素として、競争優位性、長期目標、成長ドライバーと並んで、キャピタル・アロケーションの優先順位をあげています 注３。彼らからすれば、お金の「やりくり」の方針もわからずに投資はできないということでしょう。
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,事業戦略が個別事業の生み出す価値を規定するのに対し、企業戦略は本社による付加価値を規定します。個別事業の付加価値と本社の付加価値の総和が企業価値であると考えると、それぞれの経営戦略が必要なのがわかります。
子どもは40000回質問する～あなたの人生を創る「好奇心」の驚くべき力～ (光文社未来ライブラリー),イアン・レズリー、須川 綾子,好奇心の強さは、欠けている情報が何らかの洞察を与えてくれる可能性によっても影響される。当然のことながら、あらゆる情報に同等の価値があるわけではない――新しい情報を得ても、既存の知識にほんの少し上乗せになるだけのこともあれば、それが重要な問題を解き明かす鍵になることもある。
センスの哲学 (文春e-book),千葉 雅也,　いわば、人間とは「認知が余っている」動物で、余っているからいろいろ見てみたくなるけれど、自分を制限しないと落ち着かない、というジレンマを生きている。
センスメイキング――本当に重要なものを見極める力,クリスチャン・マスビアウ、斎藤 栄一郎,いる。この現象学的な伝統を支える思想家らは、むしろ人間性に対する文脈的な理解への関心を強めた。我々がなぜ人間なのかといえば、我々がさまざまな社会的文脈の中に存在しているからだという。 　この哲学によれば、我々の共有する世界を理解し、そこに関心を寄せる能力があることこそ、我々が人間たるゆえんだ。デカルト派が、あたかも窓の外を覗くように人生について傍観者的に「思いを巡らす」方法とは違うのである。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,だから、僕らは、美しい景色を見ると、誰かに教えずにはいられない。 　その光景を、今ここで誰かと共有せずにはいられない。 　純粋な自然の贈与を受け取ると、 誰かにシェアしたくなる。
賢さをつくる 頭はよくなる。よくなりたければ。,谷川 祐基,どの抽象度で物事を考えるのかは、完全にあなたの自由である。
良い戦略、悪い戦略 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,戦略が秘密にされていたからではなく、良い戦略それ自体が驚きだったと言える。
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,ヒトといちばん近い関係にあるチンパンジーが、体を動かさないのに健康を保っている。このことからわかるのは、運動は水や酸素とは違って、すべての動物にとって生きるために必須の要素というわけではないということである。運動を必要とするヒトが特異なのだ。
コンピテンシー実用講座【基礎編】,坂本　健,コンピテンシーは、簡単に言えば、人の力（ちから）を客観的、論理的に評価するのに役立ちます。ですから、その用途は、 １） 他者の強み、弱みを見極める ２） 自分の強み、弱みを見極める と、いうことと、それによって可能になる様々な用途ということになります。
Anthro Vision（アンソロ・ビジョン）　人類学的思考で視るビジネスと世界 (日本経済新聞出版),ジリアン・テット、土方奈美,マッケーブは、動物そのもの、あるいは動物と人間の関係だけに注目するより、人間同士の関係に焦点を合わせたほうがいい、と提言した。
「組織と人数」の絶対法則―人間関係を支配する「ダンバー数」のすごい力,トレイシー・カミレッリ、サマンサ・ロッキー、ロビン・ダンバー、鍛原 多惠子,・私たちにはホモフィリーと呼ばれる傾向がある。自分に似た人に自然に引き寄せられるのだ。だが、ホモフィリーは諸刃の剣でもある。職場における友情は安心感と心地よい仕事上の関係を与えるかもしれないが、イノベーションと最良の意思決定には多様な視点が必要とされる。優秀なリーダーであるためには、職場の友情を促進する一方で、ときにはサイロから出るようにも強いなければならないことを認識すべきである。
THE NEXT BIG THING スティーブ・ジョブズと日本の環太平洋創作戦記,榎本幹朗,　ジョブズを追放したスカリーＣＥＯは、コンピュータがノートパソコンよりももっと小さくなり、手のひらの上に乗る時代が来ることを予感していた。 　だがパソコンのＣＰＵはモバイル端末を想定していない。Ａｐｐｌｅはスカリー時代に、モバイル端末専用のＣＰＵを開発する会社をジョイント・ヴェンチャーで英国に立ち上げる。のちに孫正義率いるソフトバンクが二兆円の巨額で買収する ＡＲＭ 社だ。
世界秩序の変化に対処するための原則　なぜ国家は興亡するのか (日本経済新聞出版),レイ・ダリオ、斎藤聖美,を築くこと＝生産的であること。 長期的に考えれば、富と購買力は生産力に依存する。実物資産は長くもたない。遺産も同様だ。だから、継続的に生産的であることがとても重要なのだ。富裕層の富を没収してそれで社会を回した非生産的な社会（たとえば1917年の革命後のロシア）を見れば、貧しくなるのに時間がかからなかったことがわかるだろう。
知略の本質 戦史に学ぶ逆転と勝利 (日本経済新聞出版),野中郁次郎、戸部良一、河野仁、麻田雅文,ホー・チ・ミンとボー・グエン・ザップは、毛沢東の遊撃戦略論を基本に、ゲリラ戦から正規戦へと転じていく戦いの筋（プロット）を持っていた。そして、第一に防衛戦、次にゲリラ戦による勢力の均衡、最後に正規軍による総反抗という三段階のダイナミックな戦略を実践した。
言語の本質　ことばはどう生まれ、進化したか (中公新書),今井むつみ、秋田喜美,すなわち、オノマトペは外界の感覚情報を音でアイコン的に表現するが、そのとき、脳はその音を、環境音と言語音として二重処理するのである。この二重性は、脳がオノマトペを言語記号として認識すると同時に、ジェスチャーのような、言語記号ではないアイコン的要素としても認識していることを示唆している。オノマトペは環境音というアナログな非言語の音の処理とデジタルな言語の音処理をつなぐことばであるとも言える。その意味で、オノマトペは環境音と言語の両方の側面を持つことばであると言えよう。
コンテクスト・マネジメント～個を活かし、経営の質を高める～,野田 智義,コンテクスト・マネジメントを理解するためには、少し理論っぽく言うと、組織の意思決定における「情報の非対称性（ information asymmetry）」に目を向けなければいけません。 　従業員が数十人しかいないような小さな組織の場合には、トップと現場が持っている情報量にさほど差がないですよね。つまり、情報の非対称性が存在していない。その場合、トップは、事業計画の中身も含めて全部自分で決めることができます。
INNOVATION STACK　だれにも真似できないビジネスを創る,ジム・マッケルビー、山形浩生,ハーブ・ケレハーは、なぜ競合他社がサウスウエスト航空のイノベーションスタックを再現できないか説明してくれた。「みんな 20 個あるうちの一つだけ取り出して『これさえあればうちこそ次のサウスウエスト航空だ』と言ったんだが、実は肝心なのはうちの全体的な混合物だったんだ」
ハーバード・ビジネス・レビュー　リーダーシップ論文ベスト10 リーダーシップの教科書,ハーバード・ビジネス・レビュー編集部、ダイヤモンドハーバードビジネスレビューヘンシュウブ,そこで、リーダーシップにおける大きな課題の一つは、信用を獲得すること、すなわちみんなにメッセージを信じてもらうことである。ただし、信用を得るには、メッセージを発する人の実績、またメッセージの内容そのもの、誠実さや信頼性に関する評判、言行の一貫性など、さまざまなことが関係してくる。
岩田さん: 岩田聡はこんなことを話していた。 (ほぼ日ブックス),ほぼ日刊イトイ新聞,　だからこそ、わたしたちがつくるハードでは、まず構造としての遊びをつくって、いろんな人がそこに自分の遊びを足したりシェアしたりできるようにしました。さまざまな遊びを発想させる、「仕組みとして筋（すじ）のいいもの」がハードにあらかじめ組み込まれていると、あとから発展する力が大きく変わってくるんです。そういう意味では、「こういう土台があったら、あとあとよさそうだ」ということを先にしっかりと判断しておくのがプラットフォームを設計するうえでとても重要なポイントになってくると思っています。
モード後の世界 (扶桑社ＢＯＯＫＳ),栗野宏文,アヴァンギャルドなものをつくるブランドの中には、「こんな凄いものつくりました」と言ってそれでも受けるブランドと、「独りよがりだな」と言われてしまうブランドがあります。クリエイションがお金になるというのは、そのブランドの極端さやデザインの目立ち方という話ではなく、たとえ小さな差であっても、ほかとは違うものを形にし得るかどうかです。その差に対して、いろいろな人が、「この差はイエス」「この差はノー」とか、「この差なら好きだな」「この差はあんまり好きじゃないな」と言う。そうやって、球を投げる側と受け止める側とで楽しむゲームがファッションだと思います。
"Zero to One: Notes on Startups, or How to Build the Future (English Edition)",Peter Thiel、Blake Masters,"Simply stated, the value of a business today is the sum of all the money it will make in the future."
倫理資本主義の時代 (ハヤカワ新書),マルクス ガブリエル、土方 奈美、斎藤 幸平,複雑な倫理的問題が生じるのは、一つの行動の結果を完全に明らかにするのはほぼ不可能だからだ。その原因は、私たちの行動が社会および自然の文脈に組み込まれており、そうした文脈の細部には常に一定の不透明さが付きまとうためだ。
テクノロジーの世界経済史　ビル・ゲイツのパラドックス,カール・B・フレイ、村井 章子、大野 一,経済にせよ技術にせよ発展が進むのは「自分の既得権の喪失を恐れる経済的負け組や自分の影響力の侵食を恐れる政治的負け組に妨害されない場合」に限られるのである（ 42）。
